ProductionOrderID,ProductionOrderNumber,ItemID,CustomerID,PlannedQuantity,ActualQuantity,ScheduledStartDate,ScheduledEndDate,Status,Priority,CreatedAt
34,PRD-000034,63,35,398.53,220.21,2025-10-27,2025-11-22,InProgress,Critical,2025-10-27 00:00:00
35,PRD-000035,119,40,919.24,0.0,2025-10-20,2025-11-27,Scheduled,Medium,2025-10-20 00:00:00
36,PRD-000036,65,25,951.42,424.59,2025-11-01,2025-11-24,InProgress,Critical,2025-11-01 00:00:00
37,PRD-000037,12,11,363.55,355.83,2025-06-16,2025-07-02,Completed,High,2025-06-16 00:00:00
38,PRD-000038,186,36,258.49,247.22,2024-08-22,2024-09-21,Completed,Critical,2024-08-22 00:00:00
39,PRD-000039,82,22,364.99,0.0,2025-07-24,2025-08-09,Cancelled,Medium,2025-07-24 00:00:00
40,PRD-000040,83,22,660.06,609.92,2025-11-09,2025-12-10,Completed,Low,2025-11-09 00:00:00
41,PRD-000041,1,39,199.68,198.05,2025-10-18,2025-11-20,Completed,Medium,2025-10-18 00:00:00
42,PRD-000042,181,32,110.79,44.71,2025-08-18,2025-09-01,OnHold,High,2025-08-18 00:00:00
43,PRD-000043,229,29,228.64,206.67,2024-07-27,2024-09-09,Completed,High,2024-07-27 00:00:00
44,PRD-000044,46,1,45.66,41.89,2024-01-11,2024-02-07,Completed,Low,2024-01-11 00:00:00
45,PRD-000045,6,18,868.1,233.94,2024-01-30,2024-02-14,InProgress,High,2024-01-30 00:00:00
46,PRD-000046,57,15,950.95,911.16,2025-01-25,2025-02-23,Completed,Critical,2025-01-25 00:00:00
47,PRD-000047,181,39,442.25,198.15,2025-10-27,2025-11-01,OnHold,Low,2025-10-27 00:00:00
48,PRD-000048,146,33,521.53,289.59,2023-07-28,2023-09-09,OnHold,Medium,2023-07-28 00:00:00
49,PRD-000049,155,37,289.67,270.93,2024-08-10,2024-09-24,Completed,Low,2024-08-10 00:00:00
50,PRD-000050,187,18,895.15,597.85,2024-09-18,2024-10-07,OnHold,Low,2024-09-18 00:00:00
51,PRD-000051,227,30,893.63,841.75,2024-12-23,2025-01-29,Completed,Low,2024-12-23 00:00:00
52,PRD-000052,105,18,782.56,741.58,2024-03-30,2024-05-28,Completed,Low,2024-03-30 00:00:00
53,PRD-000053,227,15,502.56,462.59,2024-07-05,2024-08-08,Completed,Low,2024-07-05 00:00:00
54,PRD-000054,50,22,595.22,0.0,2025-09-05,2025-10-12,Scheduled,Low,2025-09-05 00:00:00
55,PRD-000055,177,28,194.27,58.07,2024-08-31,2024-09-04,InProgress,Critical,2024-08-31 00:00:00
56,PRD-000056,161,7,856.48,0.0,2025-09-03,2025-10-02,Scheduled,Low,2025-09-03 00:00:00
57,PRD-000057,86,17,215.01,195.04,2024-04-05,2024-04-09,Completed,Low,2024-04-05 00:00:00
58,PRD-000058,134,16,78.32,77.86,2024-05-19,2024-06-12,Completed,Critical,2024-05-19 00:00:00
59,PRD-000059,115,38,511.85,0.0,2025-04-06,2025-05-18,Scheduled,Low,2025-04-06 00:00:00
60,PRD-000060,178,5,415.32,243.6,2025-11-03,2025-11-08,OnHold,High,2025-11-03 00:00:00
61,PRD-000061,174,4,837.47,0.0,2023-03-08,2023-04-26,Scheduled,Medium,2023-03-08 00:00:00
62,PRD-000062,106,15,338.87,328.49,2023-11-11,2023-12-08,Completed,High,2023-11-11 00:00:00
63,PRD-000063,110,40,773.41,746.7,2025-04-18,2025-06-16,Completed,Medium,2025-04-18 00:00:00
64,PRD-000064,50,7,160.08,100.13,2023-12-28,2024-01-01,InProgress,Low,2023-12-28 00:00:00
65,PRD-000065,232,37,543.7,504.69,2024-09-25,2024-10-02,Completed,Low,2024-09-25 00:00:00
66,PRD-000066,114,12,430.98,389.5,2024-06-25,2024-07-20,Completed,Low,2024-06-25 00:00:00
67,PRD-000067,167,23,136.59,133.39,2025-04-28,2025-05-22,Completed,Medium,2025-04-28 00:00:00
68,PRD-000068,75,24,10.01,9.43,2025-07-31,2025-08-26,Completed,Critical,2025-07-31 00:00:00
69,PRD-000069,130,36,527.29,0.0,2024-07-05,2024-08-19,Scheduled,High,2024-07-05 00:00:00
70,PRD-000070,52,5,64.09,63.92,2024-03-25,2024-04-09,Completed,Medium,2024-03-25 00:00:00
71,PRD-000071,149,37,233.86,66.07,2024-12-12,2025-01-13,InProgress,Critical,2024-12-12 00:00:00
72,PRD-000072,225,3,310.9,0.0,2024-10-18,2024-11-16,Scheduled,Medium,2024-10-18 00:00:00
73,PRD-000073,160,14,238.11,24.02,2025-09-06,2025-10-19,InProgress,Low,2025-09-06 00:00:00
74,PRD-000074,103,12,732.05,729.62,2025-02-21,2025-03-17,Completed,High,2025-02-21 00:00:00
75,PRD-000075,37,19,232.05,224.23,2023-01-08,2023-01-16,Completed,Medium,2023-01-08 00:00:00
76,PRD-000076,73,12,744.48,453.43,2024-11-03,2024-12-04,InProgress,Low,2024-11-03 00:00:00
77,PRD-000077,46,13,428.4,398.54,2023-10-07,2023-10-21,Completed,Low,2023-10-07 00:00:00
78,PRD-000078,202,8,332.04,322.5,2025-06-16,2025-07-04,Completed,Medium,2025-06-16 00:00:00
79,PRD-000079,170,11,818.61,751.62,2023-08-12,2023-09-13,Completed,Critical,2023-08-12 00:00:00
80,PRD-000080,17,8,377.23,241.87,2025-11-06,2025-12-18,OnHold,Low,2025-11-06 00:00:00
81,PRD-000081,96,21,808.63,807.41,2025-09-11,2025-09-26,Completed,Medium,2025-09-11 00:00:00
82,PRD-000082,151,13,756.71,710.79,2025-11-06,2025-11-24,Completed,High,2025-11-06 00:00:00
83,PRD-000083,204,18,594.73,0.0,2023-11-10,2023-11-22,Scheduled,High,2023-11-10 00:00:00
84,PRD-000084,21,31,664.4,97.72,2025-06-25,2025-08-04,InProgress,High,2025-06-25 00:00:00
85,PRD-000085,166,33,549.05,533.09,2024-10-16,2024-10-29,Completed,Medium,2024-10-16 00:00:00
86,PRD-000086,178,31,175.65,171.8,2024-07-06,2024-07-20,Completed,High,2024-07-06 00:00:00
87,PRD-000087,203,38,587.94,585.13,2024-06-10,2024-06-30,Completed,Medium,2024-06-10 00:00:00
88,PRD-000088,56,20,52.0,13.48,2023-08-09,2023-08-24,InProgress,Medium,2023-08-09 00:00:00
89,PRD-000089,141,6,605.54,562.94,2024-02-06,2024-02-19,Completed,Low,2024-02-06 00:00:00
90,PRD-000090,11,30,717.28,398.38,2023-03-31,2023-05-01,InProgress,Medium,2023-03-31 00:00:00
91,PRD-000091,206,32,111.49,106.07,2023-12-25,2024-01-25,Completed,Medium,2023-12-25 00:00:00
92,PRD-000092,20,23,513.8,165.22,2024-02-12,2024-02-26,InProgress,Critical,2024-02-12 00:00:00
93,PRD-000093,202,18,933.6,917.5,2023-11-10,2023-12-15,Completed,Critical,2023-11-10 00:00:00
94,PRD-000094,86,13,700.24,680.24,2023-04-15,2023-04-22,Completed,High,2023-04-15 00:00:00
95,PRD-000095,36,35,467.1,463.41,2023-09-24,2023-10-14,Completed,Critical,2023-09-24 00:00:00
96,PRD-000096,104,26,697.65,374.91,2023-01-10,2023-02-01,InProgress,High,2023-01-10 00:00:00
97,PRD-000097,195,10,863.07,800.42,2025-03-18,2025-03-21,Completed,High,2025-03-18 00:00:00
98,PRD-000098,202,36,809.0,743.89,2023-08-31,2023-09-16,Completed,High,2023-08-31 00:00:00
99,PRD-000099,217,13,351.89,0.0,2025-02-08,2025-03-12,Scheduled,Medium,2025-02-08 00:00:00
100,PRD-000100,143,2,342.25,341.52,2025-09-30,2025-10-29,Completed,Medium,2025-09-30 00:00:00
101,PRD-000101,128,23,857.97,832.33,2024-09-07,2024-09-18,Completed,Medium,2024-09-07 00:00:00
102,PRD-000102,77,21,729.79,697.83,2024-03-22,2024-04-19,Completed,Medium,2024-03-22 00:00:00
103,PRD-000103,244,22,947.62,376.92,2024-08-27,2024-09-01,InProgress,Medium,2024-08-27 00:00:00
104,PRD-000104,98,14,386.71,354.34,2025-05-01,2025-06-11,Completed,Critical,2025-05-01 00:00:00
105,PRD-000105,146,29,788.34,0.0,2023-03-09,2023-04-05,Scheduled,Medium,2023-03-09 00:00:00
106,PRD-000106,177,39,737.1,0.0,2023-11-21,2023-12-14,Scheduled,Medium,2023-11-21 00:00:00
107,PRD-000107,53,15,390.51,352.44,2023-07-18,2023-07-25,Completed,Medium,2023-07-18 00:00:00
108,PRD-000108,221,27,840.61,89.82,2024-07-12,2024-08-18,InProgress,Medium,2024-07-12 00:00:00
109,PRD-000109,18,25,706.66,704.56,2025-11-19,2025-11-30,Completed,Critical,2025-11-19 00:00:00
110,PRD-000110,210,31,443.28,106.82,2025-07-10,2025-07-21,InProgress,Low,2025-07-10 00:00:00
111,PRD-000111,176,30,707.82,694.88,2024-09-04,2024-09-26,Completed,Medium,2024-09-04 00:00:00
112,PRD-000112,155,16,550.97,549.15,2023-01-08,2023-01-20,Completed,Medium,2023-01-08 00:00:00
113,PRD-000113,189,6,61.15,58.12,2025-08-27,2025-09-30,Completed,Medium,2025-08-27 00:00:00
114,PRD-000114,203,20,721.27,711.36,2025-07-27,2025-08-28,Completed,Medium,2025-07-27 00:00:00
115,PRD-000115,159,28,187.46,108.73,2025-05-26,2025-06-09,InProgress,Medium,2025-05-26 00:00:00
116,PRD-000116,179,3,557.18,0.0,2025-08-28,2025-09-11,Scheduled,Low,2025-08-28 00:00:00
117,PRD-000117,171,5,402.59,367.63,2025-07-16,2025-08-05,Completed,High,2025-07-16 00:00:00
118,PRD-000118,196,36,866.64,793.61,2025-02-08,2025-02-24,Completed,Low,2025-02-08 00:00:00
119,PRD-000119,105,29,316.69,294.21,2024-01-28,2024-02-06,Completed,Low,2024-01-28 00:00:00
120,PRD-000120,178,30,872.7,0.0,2023-08-09,2023-08-14,Scheduled,Medium,2023-08-09 00:00:00
121,PRD-000121,30,9,675.98,0.0,2025-03-05,2025-03-20,Scheduled,Medium,2025-03-05 00:00:00
122,PRD-000122,169,16,798.71,0.0,2025-03-08,2025-04-11,Scheduled,High,2025-03-08 00:00:00
123,PRD-000123,44,2,257.96,248.28,2024-04-11,2024-05-14,Completed,Medium,2024-04-11 00:00:00
124,PRD-000124,20,1,576.03,566.4,2023-07-08,2023-07-18,Completed,High,2023-07-08 00:00:00
125,PRD-000125,137,14,907.03,97.32,2023-06-13,2023-07-14,OnHold,Medium,2023-06-13 00:00:00
126,PRD-000126,184,7,677.28,613.06,2023-02-20,2023-04-04,Completed,Medium,2023-02-20 00:00:00
127,PRD-000127,97,13,553.37,0.0,2023-11-25,2023-12-01,Scheduled,Critical,2023-11-25 00:00:00
128,PRD-000128,8,1,294.76,0.0,2024-02-03,2024-02-21,Scheduled,Medium,2024-02-03 00:00:00
129,PRD-000129,213,11,313.71,293.41,2023-07-24,2023-09-15,Completed,High,2023-07-24 00:00:00
130,PRD-000130,161,13,625.08,187.79,2023-02-16,2023-04-07,InProgress,Medium,2023-02-16 00:00:00
131,PRD-000131,55,7,735.37,0.0,2025-09-22,2025-10-20,Scheduled,Medium,2025-09-22 00:00:00
132,PRD-000132,55,30,410.48,0.0,2023-07-04,2023-08-01,Scheduled,Low,2023-07-04 00:00:00
133,PRD-000133,18,14,77.67,75.99,2024-12-01,2024-12-21,Completed,Medium,2024-12-01 00:00:00
134,PRD-000134,138,37,292.9,0.0,2025-03-28,2025-05-01,Scheduled,Low,2025-03-28 00:00:00
135,PRD-000135,100,9,438.44,424.65,2025-10-18,2025-11-28,Completed,Medium,2025-10-18 00:00:00
136,PRD-000136,18,22,339.13,307.14,2024-11-07,2024-11-30,Completed,Low,2024-11-07 00:00:00
137,PRD-000137,60,33,380.18,378.07,2025-08-29,2025-09-29,Completed,Medium,2025-08-29 00:00:00
138,PRD-000138,189,28,645.32,324.52,2025-11-18,2025-12-13,InProgress,High,2025-11-18 00:00:00
139,PRD-000139,39,25,635.96,139.53,2024-10-22,2024-11-17,InProgress,Low,2024-10-22 00:00:00
140,PRD-000140,225,22,424.15,413.59,2023-02-10,2023-03-23,Completed,Low,2023-02-10 00:00:00
141,PRD-000141,166,19,110.36,0.0,2023-12-05,2023-12-10,Cancelled,High,2023-12-05 00:00:00
142,PRD-000142,14,16,285.07,75.77,2023-09-01,2023-09-25,InProgress,High,2023-09-01 00:00:00
143,PRD-000143,83,12,437.7,436.84,2025-01-11,2025-01-28,Completed,Medium,2025-01-11 00:00:00
144,PRD-000144,37,14,76.83,0.0,2023-01-07,2023-02-21,Scheduled,Low,2023-01-07 00:00:00
145,PRD-000145,61,33,523.51,108.69,2023-07-04,2023-08-11,OnHold,Low,2023-07-04 00:00:00
146,PRD-000146,46,39,970.97,163.11,2025-02-11,2025-03-16,InProgress,Low,2025-02-11 00:00:00
147,PRD-000147,221,31,409.56,222.28,2023-10-31,2023-12-01,InProgress,Low,2023-10-31 00:00:00
148,PRD-000148,109,33,707.51,666.67,2025-11-01,2025-11-29,Completed,Medium,2025-11-01 00:00:00
149,PRD-000149,6,25,353.06,331.79,2024-04-06,2024-04-18,Completed,Medium,2024-04-06 00:00:00
150,PRD-000150,187,12,271.63,60.63,2023-03-30,2023-04-21,InProgress,Medium,2023-03-30 00:00:00
151,PRD-000151,124,5,488.21,452.5,2024-05-08,2024-06-09,Completed,Medium,2024-05-08 00:00:00
152,PRD-000152,221,33,294.59,0.0,2025-01-31,2025-02-26,Scheduled,High,2025-01-31 00:00:00
153,PRD-000153,249,24,660.19,449.67,2024-02-03,2024-03-02,OnHold,Medium,2024-02-03 00:00:00
154,PRD-000154,32,25,607.6,0.0,2023-11-24,2024-01-09,Cancelled,Critical,2023-11-24 00:00:00
155,PRD-000155,193,23,86.21,78.24,2023-06-22,2023-07-22,Completed,Medium,2023-06-22 00:00:00
156,PRD-000156,238,28,951.91,885.02,2024-06-04,2024-06-30,Completed,High,2024-06-04 00:00:00
157,PRD-000157,181,2,101.15,97.09,2023-09-16,2023-09-21,Completed,High,2023-09-16 00:00:00
158,PRD-000158,38,17,627.41,306.87,2024-11-18,2024-12-07,OnHold,Low,2024-11-18 00:00:00
159,PRD-000159,198,6,274.73,0.0,2024-09-07,2024-10-22,Scheduled,Medium,2024-09-07 00:00:00
160,PRD-000160,21,34,24.96,0.0,2025-09-03,2025-10-01,Cancelled,Critical,2025-09-03 00:00:00
161,PRD-000161,78,33,965.37,241.86,2025-07-21,2025-08-03,InProgress,Critical,2025-07-21 00:00:00
162,PRD-000162,193,6,679.27,659.34,2024-12-02,2024-12-29,Completed,Low,2024-12-02 00:00:00
163,PRD-000163,54,26,613.91,176.65,2024-09-01,2024-09-26,InProgress,High,2024-09-01 00:00:00
164,PRD-000164,18,27,278.39,0.0,2023-01-07,2023-01-20,Scheduled,Medium,2023-01-07 00:00:00
165,PRD-000165,35,13,601.69,372.84,2024-11-28,2025-01-13,InProgress,Medium,2024-11-28 00:00:00
166,PRD-000166,48,13,947.27,862.58,2024-06-19,2024-06-29,Completed,Low,2024-06-19 00:00:00
167,PRD-000167,105,29,163.28,108.88,2023-07-14,2023-07-29,OnHold,Medium,2023-07-14 00:00:00
168,PRD-000168,32,18,739.17,0.0,2024-10-27,2024-12-23,Scheduled,Low,2024-10-27 00:00:00
169,PRD-000169,26,1,884.16,813.66,2023-02-01,2023-02-19,Completed,Low,2023-02-01 00:00:00
170,PRD-000170,11,7,591.71,574.03,2025-03-11,2025-03-14,Completed,Low,2025-03-11 00:00:00
171,PRD-000171,195,18,683.31,0.0,2025-04-23,2025-05-20,Cancelled,Critical,2025-04-23 00:00:00
172,PRD-000172,175,22,414.07,45.23,2024-05-18,2024-06-11,InProgress,Critical,2024-05-18 00:00:00
173,PRD-000173,15,23,587.1,543.25,2025-05-19,2025-06-14,Completed,High,2025-05-19 00:00:00
174,PRD-000174,186,9,455.75,453.82,2025-05-08,2025-05-11,Completed,Low,2025-05-08 00:00:00
175,PRD-000175,209,16,405.04,398.55,2023-05-11,2023-06-16,Completed,Medium,2023-05-11 00:00:00
176,PRD-000176,170,13,196.66,190.22,2024-10-20,2024-12-04,Completed,Low,2024-10-20 00:00:00
177,PRD-000177,249,21,977.24,157.47,2024-11-10,2024-12-19,OnHold,High,2024-11-10 00:00:00
178,PRD-000178,21,23,18.24,17.21,2023-09-06,2023-10-10,Completed,Medium,2023-09-06 00:00:00
179,PRD-000179,232,7,101.7,55.84,2025-09-19,2025-10-22,OnHold,High,2025-09-19 00:00:00
180,PRD-000180,225,37,915.4,329.92,2023-11-09,2023-11-24,OnHold,High,2023-11-09 00:00:00
181,PRD-000181,173,36,266.12,95.97,2025-02-02,2025-02-14,InProgress,Critical,2025-02-02 00:00:00
182,PRD-000182,139,16,726.21,654.25,2024-05-12,2024-06-12,Completed,Low,2024-05-12 00:00:00
183,PRD-000183,184,2,593.56,0.0,2023-07-01,2023-08-15,Scheduled,Low,2023-07-01 00:00:00
184,PRD-000184,66,31,617.16,297.85,2025-09-16,2025-10-13,InProgress,Critical,2025-09-16 00:00:00
185,PRD-000185,178,22,249.6,0.0,2024-12-15,2025-02-18,Scheduled,High,2024-12-15 00:00:00
186,PRD-000186,184,25,716.91,651.77,2025-09-19,2025-11-14,Completed,High,2025-09-19 00:00:00
187,PRD-000187,30,19,207.28,129.86,2025-04-16,2025-05-16,InProgress,Low,2025-04-16 00:00:00
188,PRD-000188,30,37,741.34,668.23,2023-04-05,2023-05-15,Completed,Medium,2023-04-05 00:00:00
189,PRD-000189,16,38,255.89,0.0,2025-06-27,2025-07-24,Scheduled,Medium,2025-06-27 00:00:00
190,PRD-000190,174,9,222.26,206.05,2025-06-21,2025-07-21,Completed,Medium,2025-06-21 00:00:00
191,PRD-000191,118,21,255.08,231.17,2024-10-02,2024-10-24,Completed,Low,2024-10-02 00:00:00
192,PRD-000192,154,19,464.35,451.94,2025-10-01,2025-10-18,Completed,Low,2025-10-01 00:00:00
193,PRD-000193,177,8,610.66,307.6,2024-12-09,2024-12-14,InProgress,Medium,2024-12-09 00:00:00
194,PRD-000194,127,19,90.34,89.9,2025-06-21,2025-07-30,Completed,High,2025-06-21 00:00:00
195,PRD-000195,240,15,840.11,823.74,2024-02-06,2024-03-12,Completed,High,2024-02-06 00:00:00
196,PRD-000196,77,11,824.75,819.2,2023-02-25,2023-03-11,Completed,Critical,2023-02-25 00:00:00
197,PRD-000197,90,26,548.81,504.92,2024-08-06,2024-08-30,Completed,Medium,2024-08-06 00:00:00
198,PRD-000198,180,36,620.62,338.69,2024-07-16,2024-08-06,OnHold,Medium,2024-07-16 00:00:00
199,PRD-000199,240,20,740.54,0.0,2023-05-20,2023-06-29,Scheduled,Medium,2023-05-20 00:00:00
200,PRD-000200,230,10,526.23,477.21,2023-06-24,2023-07-05,Completed,Low,2023-06-24 00:00:00
201,PRD-000201,186,37,377.4,0.0,2025-05-06,2025-05-21,Scheduled,Low,2025-05-06 00:00:00
202,PRD-000202,174,11,921.56,0.0,2025-04-16,2025-04-28,Cancelled,Critical,2025-04-16 00:00:00
203,PRD-000203,132,22,588.6,0.0,2023-04-13,2023-05-22,Scheduled,Medium,2023-04-13 00:00:00
204,PRD-000204,31,16,542.95,141.88,2025-10-29,2025-12-11,InProgress,Medium,2025-10-29 00:00:00
205,PRD-000205,97,6,374.76,370.84,2023-11-19,2023-12-30,Completed,High,2023-11-19 00:00:00
206,PRD-000206,114,24,669.8,655.56,2025-07-10,2025-08-23,Completed,Low,2025-07-10 00:00:00
207,PRD-000207,131,15,459.8,442.8,2023-05-05,2023-05-15,Completed,Low,2023-05-05 00:00:00
208,PRD-000208,25,38,255.9,248.36,2024-09-02,2024-10-11,Completed,Low,2024-09-02 00:00:00
209,PRD-000209,33,7,433.33,158.39,2024-05-30,2024-07-13,InProgress,Medium,2024-05-30 00:00:00
210,PRD-000210,6,26,652.83,648.67,2025-01-30,2025-03-08,Completed,Medium,2025-01-30 00:00:00
211,PRD-000211,150,35,73.37,72.08,2024-07-25,2024-08-30,Completed,High,2024-07-25 00:00:00
212,PRD-000212,169,8,299.46,109.71,2025-04-21,2025-05-01,InProgress,Low,2025-04-21 00:00:00
213,PRD-000213,32,3,31.69,29.48,2024-09-30,2024-11-02,Completed,Low,2024-09-30 00:00:00
214,PRD-000214,9,6,507.6,67.87,2023-08-08,2023-09-03,OnHold,Critical,2023-08-08 00:00:00
215,PRD-000215,242,1,496.18,325.63,2024-06-23,2024-07-19,InProgress,Low,2024-06-23 00:00:00
216,PRD-000216,137,29,114.34,63.88,2023-02-19,2023-03-27,InProgress,Low,2023-02-19 00:00:00
217,PRD-000217,91,39,415.57,0.0,2024-06-06,2024-06-29,Cancelled,Medium,2024-06-06 00:00:00
218,PRD-000218,10,13,658.62,0.0,2023-08-12,2023-08-21,Scheduled,Low,2023-08-12 00:00:00
219,PRD-000219,56,38,267.63,245.14,2025-06-30,2025-07-16,Completed,Medium,2025-06-30 00:00:00
220,PRD-000220,67,25,168.86,153.16,2023-05-17,2023-06-28,Completed,Medium,2023-05-17 00:00:00
221,PRD-000221,241,10,193.79,187.28,2023-06-23,2023-08-07,Completed,Medium,2023-06-23 00:00:00
222,PRD-000222,50,24,882.87,866.46,2023-03-17,2023-04-06,Completed,Medium,2023-03-17 00:00:00
223,PRD-000223,40,21,688.28,627.05,2024-11-20,2024-12-25,Completed,Critical,2024-11-20 00:00:00
224,PRD-000224,70,8,296.3,84.71,2024-04-06,2024-04-10,InProgress,Medium,2024-04-06 00:00:00
225,PRD-000225,86,18,257.46,244.97,2024-12-29,2025-02-03,Completed,Low,2024-12-29 00:00:00
226,PRD-000226,57,25,540.2,0.0,2025-04-29,2025-06-05,Cancelled,Critical,2025-04-29 00:00:00
227,PRD-000227,207,32,363.32,339.84,2025-04-13,2025-05-07,Completed,Low,2025-04-13 00:00:00
228,PRD-000228,156,7,830.27,812.78,2024-01-07,2024-02-15,Completed,High,2024-01-07 00:00:00
229,PRD-000229,174,35,314.72,312.01,2023-07-01,2023-07-28,Completed,Medium,2023-07-01 00:00:00
230,PRD-000230,3,33,953.29,0.0,2025-07-28,2025-08-25,Scheduled,High,2025-07-28 00:00:00
231,PRD-000231,14,24,333.48,311.95,2024-12-01,2024-12-13,Completed,High,2024-12-01 00:00:00
232,PRD-000232,113,23,510.58,507.57,2023-09-23,2023-11-03,Completed,High,2023-09-23 00:00:00
233,PRD-000233,184,15,877.56,798.8,2024-06-18,2024-07-08,Completed,Medium,2024-06-18 00:00:00
234,PRD-000234,24,6,398.8,172.29,2025-07-02,2025-07-24,InProgress,Low,2025-07-02 00:00:00
235,PRD-000235,74,36,508.1,0.0,2023-09-13,2023-09-27,Scheduled,Critical,2023-09-13 00:00:00
236,PRD-000236,131,9,201.92,199.07,2025-05-10,2025-05-13,Completed,Medium,2025-05-10 00:00:00
237,PRD-000237,158,13,680.17,669.15,2024-07-02,2024-08-08,Completed,Critical,2024-07-02 00:00:00
238,PRD-000238,63,34,860.18,838.53,2025-03-05,2025-04-04,Completed,High,2025-03-05 00:00:00
239,PRD-000239,226,34,444.82,427.5,2023-02-15,2023-03-18,Completed,Critical,2023-02-15 00:00:00
240,PRD-000240,244,4,168.76,163.25,2023-07-06,2023-08-01,Completed,Medium,2023-07-06 00:00:00
241,PRD-000241,174,16,187.46,96.8,2024-02-08,2024-03-05,InProgress,High,2024-02-08 00:00:00
242,PRD-000242,68,14,237.3,216.36,2025-06-25,2025-07-05,Completed,Low,2025-06-25 00:00:00
243,PRD-000243,239,33,173.63,17.57,2024-11-03,2024-12-01,InProgress,High,2024-11-03 00:00:00
244,PRD-000244,15,23,721.55,702.24,2023-02-07,2023-03-11,Completed,Low,2023-02-07 00:00:00
245,PRD-000245,228,12,519.78,0.0,2024-05-05,2024-05-27,Scheduled,Medium,2024-05-05 00:00:00
246,PRD-000246,132,10,169.75,0.0,2023-01-10,2023-02-09,Scheduled,Medium,2023-01-10 00:00:00
247,PRD-000247,102,24,92.72,10.34,2025-08-30,2025-09-15,InProgress,Medium,2025-08-30 00:00:00
